State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,17/09/2025,600,1000,800
"Andhra Pradesh",Chittor,Tirupati,Banana,Bhushavali(Pacha),Small,17/09/2025,7500,10000,8500
"Andhra Pradesh",Guntur,Guntur,"Dry Chillies",Guntur,FAQ,17/09/2025,10000,16000,14300
"Andhra Pradesh",Guntur,Guntur,"Dry Chillies","Red Top",FAQ,17/09/2025,10000,15600,14600
"Andhra Pradesh",Krishna,Tiruvuru,Paddy(Dhan)(Common),Sona,Non-FAQ,17/09/2025,2200,2400,2300
"Andhra Pradesh",Kurnool,Adoni,"Castor Seed","Castor seed",FAQ,17/09/2025,5073,6148,6148
"Andhra Pradesh",Kurnool,Kurnool,"Bajra(Pearl Millet/Cumbu)",Small,Non-FAQ,17/09/2025,1750,1960,1750
"Andhra Pradesh",Kurnool,Kurnool,"Foxtail Millet(Navane)",Other,FAQ,17/09/2025,2040,2309,2180
"Andhra Pradesh",Nellore,Rapur,Paddy(Dhan)(Common),Common,Non-FAQ,17/09/2025,2370,2470,2440
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Apple,Apple,Medium,17/09/2025,5000,14000,9000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Ginger(Green),Other,FAQ,17/09/2025,2500,4000,3500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pumpkin,Other,FAQ,17/09/2025,1500,2000,1800
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,17/09/2025,1500,2500,2200
Gujarat,Ahmedabad,Ahmedabad,"Bhindi(Ladies Finger)",Other,FAQ,17/09/2025,2000,5000,4000
Gujarat,Ahmedabad,Ahmedabad,Colacasia,Other,FAQ,17/09/2025,1400,1800,1700
Gujarat,Ahmedabad,Ahmedabad,Ginger(Green),Other,FAQ,17/09/2025,2500,5000,4000
Gujarat,Ahmedabad,Ahmedabad,Lemon,Other,FAQ,17/09/2025,1000,5000,2500
Gujarat,Ahmedabad,Ahmedabad,"Papaya (Raw)",Other,FAQ,17/09/2025,800,1000,950
Gujarat,Ahmedabad,Ahmedabad,"Peas Wet",Other,FAQ,17/09/2025,9000,11000,10200
Gujarat,Ahmedabad,Ahmedabad,"Pointed gourd (Parval)",Other,FAQ,17/09/2025,4000,6000,5500
Gujarat,Ahmedabad,Ahmedabad,"Turmeric (raw)",Other,FAQ,17/09/2025,6000,8000,7500
Gujarat,Ahmedabad,Viramgam,"Castor Seed","Castor seed",FAQ,17/09/2025,6450,6470,6460
Gujarat,Ahmedabad,Viramgam,Wheat,Other,Non-FAQ,17/09/2025,2545,2670,2615
Gujarat,Amreli,Amreli,"Bajra(Pearl Millet/Cumbu)",Hybrid,Non-FAQ,17/09/2025,1525,1875,1810
Gujarat,Amreli,Amreli,"Bengal Gram(Gram)(Whole)",Other,FAQ,17/09/2025,4125,5805,5510
Gujarat,Amreli,Amreli,"Black Gram (Urd Beans)(Whole)",Hybrid,Non-FAQ,17/09/2025,4000,6350,6225
Gujarat,Amreli,Amreli,"Foxtail Millet(Navane)","Navane Hybrid",FAQ,17/09/2025,1830,2250,2060
Gujarat,Amreli,Amreli,Groundnut,"Big (With Shell)",Non-FAQ,17/09/2025,3000,5425,4500
Gujarat,Amreli,Amreli,Soyabean,Soyabeen,FAQ,17/09/2025,3425,4095,4055
Gujarat,Amreli,Amreli,Wheat,Lokwan,FAQ,17/09/2025,2520,2885,2785
Gujarat,Amreli,Babra,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,17/09/2025,6825,7250,7135
Gujarat,Amreli,Babra,"Cummin Seed(Jeera)",Other,FAQ,17/09/2025,14675,17125,15900
Gujarat,Amreli,Bagasara,"Corriander seed","A-1, Green",FAQ,17/09/2025,4500,6175,5337
Gujarat,Amreli,Bagasara,Soyabean,Yellow,Non-FAQ,17/09/2025,3875,3950,3912
Gujarat,Amreli,Damnagar,Ginger(Green),"Green Ginger",FAQ,17/09/2025,1850,3050,2200
Gujarat,Amreli,Rajula,"Arhar (Tur/Red Gram)(Whole)",Other,FAQ,17/09/2025,5005,5005,5005
Gujarat,Amreli,Rajula,"Bajra(Pearl Millet/Cumbu)",Local,FAQ,17/09/2025,1855,2765,2310
Gujarat,Amreli,Rajula,"Green Gram (Moong)(Whole)",Other,FAQ,17/09/2025,4405,4405,4405
Gujarat,Amreli,Rajula,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,17/09/2025,7355,9630,8493
Gujarat,Amreli,Rajula,Soyabean,Soyabeen,FAQ,17/09/2025,3925,3925,3925
Gujarat,Amreli,Rajula,Wheat,PISSI,FAQ,17/09/2025,2125,2910,2518
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Cauliflower,Cauliflower,FAQ,17/09/2025,1000,2000,1500
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Cabbage,Other,FAQ,17/09/2025,1500,2000,1700
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)","Green Chilli",Other,FAQ,17/09/2025,2000,3000,2500
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Tinda,Other,FAQ,17/09/2025,4000,8000,6000
Gujarat,Banaskanth,Dhanera,"Castor Seed",Other,FAQ,17/09/2025,6405,6530,6475
Gujarat,Banaskanth,Dhanera,"Cummin Seed(Jeera)",Other,FAQ,17/09/2025,14000,17425,15880
Gujarat,Banaskanth,Dhanera,"Sesamum(Sesame,Gingelly,Til)",Other,Non-FAQ,17/09/2025,6700,6700,6700
Gujarat,Banaskanth,Dhanera,"Suva (Dill Seed)",Other,FAQ,17/09/2025,6950,7250,7100
Gujarat,Banaskanth,Diyodar,"Castor Seed","Castor seed",FAQ,17/09/2025,6475,6525,6510
Gujarat,Banaskanth,Lakhani,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,17/09/2025,1905,2800,2352
Gujarat,Banaskanth,Lakhani,Mustard,Mustard,FAQ,17/09/2025,6355,6500,6427
Gujarat,Banaskanth,Thara(Shihori),"Castor Seed",Caster,FAQ,17/09/2025,6300,6450,6375
Gujarat,Banaskanth,Thara(Shihori),"Guar Seed(Cluster Beans Seed)",Other,FAQ,17/09/2025,4950,5000,4975
Gujarat,Banaskanth,Tharad,"Castor Seed",Other,FAQ,17/09/2025,6400,6575,6487
Gujarat,Banaskanth,Tharad,Mustard,Sarson(Black),FAQ,17/09/2025,6125,6650,6387
Gujarat,Banaskanth,Tharad(Rah),Mustard,Other,FAQ,17/09/2025,6350,6500,6425
Gujarat,Bharuch,Ankleshwar,"Bhindi(Ladies Finger)",Bhindi,FAQ,17/09/2025,2000,3000,2500
Gujarat,Bharuch,Ankleshwar,Cauliflower,Cauliflower,FAQ,17/09/2025,2000,4000,3000
Gujarat,Bharuch,Ankleshwar,Coriander(Leaves),Coriander,FAQ,17/09/2025,3000,5000,4400
Gujarat,Bharuch,Ankleshwar,Ginger(Green),"Green Ginger",FAQ,17/09/2025,3000,5000,4000
Gujarat,Bharuch,Jambusar(Kaavi),Cotton,Other,FAQ,17/09/2025,5600,6400,6000
Gujarat,Bhavnagar,Bhavnagar,"Bajra(Pearl Millet/Cumbu)",Local,Non-FAQ,17/09/2025,2000,2820,2410
Gujarat,Bhavnagar,Bhavnagar,Wheat,Local,FAQ,17/09/2025,2550,2810,2680
Gujarat,Bhavnagar,"Mahuva(Station Road)","Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,17/09/2025,1920,2960,2500
Gujarat,Bhavnagar,"Mahuva(Station Road)",Jowar(Sorghum),Other,FAQ,17/09/2025,2000,3005,2500
Gujarat,Bhavnagar,"Mahuva(Station Road)",Onion,Red,FAQ,17/09/2025,355,1180,750
Gujarat,Bhavnagar,Palitana,Jowar(Sorghum),Local,FAQ,17/09/2025,1750,2525,2135
Gujarat,Bhavnagar,Palitana,Lemon,Lemon,FAQ,17/09/2025,1500,2200,1850
Gujarat,Bhavnagar,Palitana,Wheat,Hybrid,FAQ,17/09/2025,2300,2705,2500
Gujarat,Bhavnagar,Taleja,"Black Gram (Urd Beans)(Whole)",Local,FAQ,17/09/2025,6475,7650,7065
Gujarat,Botad,Botad,"Arhar (Tur/Red Gram)(Whole)",Other,Non-FAQ,17/09/2025,2900,5150,4000
Gujarat,"Chhota Udaipur",Kalediya,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,17/09/2025,6850,7050,6950
Gujarat,Dahod,Dahod,"Bengal Gram(Gram)(Whole)","Desi (Whole)",FAQ,17/09/2025,5800,5850,5825
Gujarat,Dahod,Dahod,Paddy(Dhan)(Common),"Paddy Coarse",Non-FAQ,17/09/2025,1700,1700,1700
Gujarat,Dahod,Dahod,Wheat,Lokwan,FAQ,17/09/2025,2800,2850,2825
Gujarat,Dahod,"Dahod(Veg. Market)",Cabbage,Cabbage,FAQ,17/09/2025,1000,1600,1200
Gujarat,Dahod,"Dahod(Veg. Market)",Carrot,Carrot,FAQ,17/09/2025,2500,3500,3000
Gujarat,Dahod,"Dahod(Veg. Market)",Cauliflower,Cauliflower,FAQ,17/09/2025,500,3500,2500
Gujarat,Dahod,"Dahod(Veg. Market)",Cucumbar(Kheera),Cucumbar,FAQ,17/09/2025,1000,4500,3000
Gujarat,Dahod,"Dahod(Veg. Market)","Elephant Yam (Suran)",Other,FAQ,17/09/2025,3000,5500,5000
Gujarat,Dahod,"Dahod(Veg. Market)",Ginger(Green),"Green Ginger",FAQ,17/09/2025,2000,5000,3500
Gujarat,Dahod,"Dahod(Veg. Market)","Pointed gourd (Parval)",Other,FAQ,17/09/2025,5000,6500,6000
Gujarat,"Devbhumi Dwarka",Bhanvad,"Green Gram (Moong)(Whole)",Other,Non-FAQ,17/09/2025,6000,7000,6500
Gujarat,"Devbhumi Dwarka","Jam Khambalia","Black Gram (Urd Beans)(Whole)",Other,Non-FAQ,17/09/2025,4500,7290,7090
Gujarat,"Devbhumi Dwarka","Jam Khambalia","Cummin Seed(Jeera)",Other,FAQ,17/09/2025,16725,18000,17250
Gujarat,Gandhinagar,Kalol,"Castor Seed",Other,FAQ,17/09/2025,6350,6530,6450
Gujarat,Gandhinagar,Kalol,Wheat,Other,FAQ,17/09/2025,2610,2800,2700
Gujarat,Gandhinagar,Mansa,Jowar(Sorghum),White,FAQ,17/09/2025,3085,4475,3900
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)","Bitter gourd",Other,FAQ,17/09/2025,3000,3000,3000
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)","Bottle gourd",Other,FAQ,17/09/2025,3000,3000,3000
Gujarat,"Gir Somnath",Talalagir,Brinjal,Other,FAQ,17/09/2025,3000,5000,4000
Gujarat,Jamnagar,Dhrol,"Methi Seeds",Other,FAQ,17/09/2025,3560,4175,3870
Gujarat,Jamnagar,Jamnagar,"Bengal Gram(Gram)(Whole)",Other,FAQ,17/09/2025,5000,5540,5325
Gujarat,Jamnagar,Jamnagar,"Green Gram (Moong)(Whole)",Other,FAQ,17/09/2025,5000,7825,7550
Gujarat,Jamnagar,Jamnagar,"Methi Seeds",Other,FAQ,17/09/2025,4000,5130,4850
Gujarat,Jamnagar,Kalawad,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,17/09/2025,7300,9100,8825
Gujarat,Junagarh,Junagadh,"Corriander seed","Coriander Seed",FAQ,17/09/2025,6500,7745,7105
Gujarat,Junagarh,Junagadh,"Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,17/09/2025,15250,17350,16250
Gujarat,Kachchh,Anjar,"Castor Seed","Castor seed",FAQ,17/09/2025,6430,6430,6430
Gujarat,Kachchh,Anjar,Soanf,Other,FAQ,17/09/2025,5250,5250,5250
Gujarat,Kachchh,Bachau,"Castor Seed","Castor seed",FAQ,17/09/2025,6350,6480,6450
Gujarat,Kachchh,K.Mandvi,"Bhindi(Ladies Finger)",Bhindi,FAQ,17/09/2025,2000,2500,2250
Gujarat,Kachchh,Rapar,"Bajra(Pearl Millet/Cumbu)",Deshi,Non-FAQ,17/09/2025,1500,2100,1800
Gujarat,Kheda,Kapadvanj,Brinjal,Other,FAQ,17/09/2025,3500,4000,3700
Gujarat,Kheda,Kapadvanj,Cauliflower,Other,FAQ,17/09/2025,2500,3000,2700
Gujarat,Kheda,Nadiyad(Piplag),Cabbage,Cabbage,FAQ,17/09/2025,1500,2000,1700
Gujarat,Kheda,Nadiyad(Piplag),"Kartali (Kantola)","Kartali (Kantola)",FAQ,17/09/2025,5500,6000,5700
Gujarat,Kheda,Nadiyad(Piplag),"Sponge gourd","Sponge gourd",FAQ,17/09/2025,700,800,750
Gujarat,Mehsana,Kadi,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,17/09/2025,2500,2650,2625
Gujarat,Mehsana,Mehsana,Wheat,Local,FAQ,17/09/2025,2575,2750,2650
Gujarat,Mehsana,Mehsana(Jornang),"Castor Seed","Castor seed",FAQ,17/09/2025,6445,6455,6450
Gujarat,Mehsana,Mehsana(Jornang),Mustard,Mustard,FAQ,17/09/2025,6255,6255,6255
Gujarat,Mehsana,"Mehsana(Mehsana Veg)","Green Chilli","Green Chilly",FAQ,17/09/2025,500,4500,2000
Gujarat,Mehsana,"Mehsana(Mehsana Veg)",Onion,Onion,FAQ,17/09/2025,300,1500,1000
Gujarat,Mehsana,Unjha,"Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,17/09/2025,15555,22250,18200
Gujarat,Mehsana,Unjha,"Sesamum(Sesame,Gingelly,Til)",Sesame,Non-FAQ,17/09/2025,8000,9855,9100
Gujarat,Mehsana,Vijapur,Wheat,Other,Non-FAQ,17/09/2025,2625,2770,2675
Gujarat,Mehsana,Vijapur(Gojjariya),"Castor Seed",Other,FAQ,17/09/2025,6460,6495,6475
Gujarat,Mehsana,Visnagar,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,17/09/2025,1255,2555,1905
Gujarat,Mehsana,Visnagar,"Guar Seed(Cluster Beans Seed)",Other,FAQ,17/09/2025,4000,4740,4370
Gujarat,Mehsana,Visnagar,Jowar(Sorghum),Other,FAQ,17/09/2025,2755,5055,3905
Gujarat,Morbi,Halvad,"Corriander seed",Other,FAQ,17/09/2025,4750,7375,6900
Gujarat,Morbi,Morbi,"Bitter gourd",Other,FAQ,17/09/2025,1000,2000,1500
Gujarat,Morbi,Morbi,"Bottle gourd","Bottle Gourd",FAQ,17/09/2025,1000,2000,1500
Gujarat,Morbi,Morbi,Brinjal,Brinjal,FAQ,17/09/2025,3500,5000,4250
Gujarat,Morbi,Morbi,Cotton,Local,FAQ,17/09/2025,4955,6925,5940
